x_position,y_position,num_points
0.000000000000000000e+00,0.000000000000000000e+00,4.500000000000000000e+02
0.000000000000000000e+00,-2.999999999999999889e-01,4.500000000000000000e+02
2.999999999999999889e-01,-2.999999999999999889e-01,4.500000000000000000e+02
2.999999999999999889e-01,-5.999999999999999778e-01,4.500000000000000000e+02
5.999999999999999778e-01,-5.999999999999999778e-01,4.500000000000000000e+02
5.999999999999998668e-01,-8.999999999999999112e-01,4.500000000000000000e+02
8.999999999999999112e-01,-8.999999999999999112e-01,4.500000000000000000e+02
1.199999999999999956e+00,-8.999999999999999112e-01,4.500000000000000000e+02
1.500000000000000000e+00,-8.999999999999999112e-01,4.500000000000000000e+02
1.800000000000000044e+00,-8.999999999999999112e-01,4.500000000000000000e+02
2.100000000000000089e+00,-8.999999999999999112e-01,4.500000000000000000e+02
2.399999999999999911e+00,-8.999999999999999112e-01,4.500000000000000000e+02
2.699999999999999734e+00,-8.999999999999999112e-01,4.500000000000000000e+02
2.999999999999999556e+00,-8.999999999999999112e-01,4.500000000000000000e+02
3.299999999999999378e+00,-8.999999999999999112e-01,4.500000000000000000e+02
3.599999999999999201e+00,-8.999999999999999112e-01,4.500000000000000000e+02
3.899999999999999023e+00,-8.999999999999999112e-01,4.500000000000000000e+02
4.199999999999999289e+00,-8.999999999999999112e-01,4.500000000000000000e+02
4.199999999999999289e+00,-5.999999999999998668e-01,4.500000000000000000e+02
4.199999999999999289e+00,-2.999999999999998779e-01,4.500000000000000000e+02
4.199999999999999289e+00,1.110223024625156540e-16,4.500000000000000000e+02
4.199999999999999289e+00,3.000000000000000999e-01,4.500000000000000000e+02
4.199999999999999289e+00,6.000000000000000888e-01,4.500000000000000000e+02
4.199999999999999289e+00,9.000000000000001332e-01,4.500000000000000000e+02
4.199999999999999289e+00,1.200000000000000178e+00,4.500000000000000000e+02
4.199999999999999289e+00,1.500000000000000222e+00,4.500000000000000000e+02
4.199999999999999289e+00,1.800000000000000266e+00,4.500000000000000000e+02
4.199999999999999289e+00,2.100000000000000089e+00,4.500000000000000000e+02
4.199999999999999289e+00,2.399999999999999911e+00,4.500000000000000000e+02
4.199999999999999289e+00,2.699999999999999734e+00,4.500000000000000000e+02
4.199999999999999289e+00,2.999999999999999556e+00,4.500000000000000000e+02
4.199999999999999289e+00,3.299999999999999378e+00,4.500000000000000000e+02
4.199999999999999289e+00,3.599999999999999201e+00,4.500000000000000000e+02
4.199999999999999289e+00,3.899999999999999023e+00,4.500000000000000000e+02
